,count,mean,min,25%,50%,75%,max
cdc_case_earliest_dt,5435,2020-09-19 03:25:51.941122560,2020-02-10 00:00:00.000000000,2020-07-12 00:00:00.000000000,2020-10-14 00:00:00.000000000,2020-12-02 00:00:00.000000000,2021-01-16 00:00:00.000000000
cdc_report_dt,5035,2020-09-30 22:48:47.189672192,2020-03-09 00:00:00.000000000,2020-07-26 00:00:00.000000000,2020-10-21 00:00:00.000000000,2020-12-09 00:00:00.000000000,2021-01-29 00:00:00.000000000
onset_dt,3962,2020-09-14 03:00:59.969712384,2020-03-09 00:00:00.000000000,2020-07-07 00:00:00.000000000,2020-10-06 00:00:00.000000000,2020-11-28 00:00:00.000000000,2021-01-26 00:00:00.000000000
